REGION,FUEL,TIMESLICE,YEAR,VALUE
NAmerica,ELCUSAAL02,SP20,2019,0.00991336892195
NAmerica,ELCUSAAL02,SP21,2019,0.0101230258792
NAmerica,ELCUSAAL02,SP22,2019,0.00979861201542
NAmerica,ELCUSAAL02,SP23,2019,0.00913269296357
NAmerica,ELCUSAAL02,SP24,2019,0.00832001289461
NAmerica,ELCUSACA02,S1,2019,0.0105811984586
NAmerica,ELCUSACA02,S2,2019,0.00992800189603
NAmerica,ELCUSACA02,S3,2019,0.00949779609953
NAmerica,ELCUSACA02,S4,2019,0.0092487922763
NAmerica,ELCUSACA02,S5,2019,0.00922283180705
NAmerica,ELCUSACA02,S6,2019,0.00943387345327
NAmerica,ELCUSACA02,S7,2019,0.00981143992032
NAmerica,ELCUSACA02,S8,2019,0.0103173340537
NAmerica,ELCUSACA02,S9,2019,0.0108660619906
NAmerica,ELCUSACA02,S10,2019,0.0113723947899
NAmerica,ELCUSACA02,S11,2019,0.0118766574297
NAmerica,ELCUSACA02,S12,2019,0.0123649079759
NAmerica,ELCUSACA02,S13,2019,0.0128233838329
NAmerica,ELCUSACA02,S14,2019,0.0133347394116
NAmerica,ELCUSACA02,S15,2019,0.0138545315127
NAmerica,ELCUSACA02,S16,2019,0.014302949457
NAmerica,ELCUSACA02,S17,2019,0.014641305183
NAmerica,ELCUSACA02,S18,2019,0.0147648967606
NAmerica,ELCUSACA02,S19,2019,0.01463533085
NAmerica,ELCUSACA02,S20,2019,0.014335784091
NAmerica,ELCUSACA02,S21,2019,0.0140609815503
NAmerica,ELCUSACA02,S22,2019,0.0135335151864
NAmerica,ELCUSACA02,S23,2019,0.0125767652678
NAmerica,ELCUSACA02,S24,2019,0.0114703721902
NAmerica,ELCUSACA02,F1,2019,0.00916402813919
NAmerica,ELCUSACA02,F2,2019,0.00873925877205
NAmerica,ELCUSACA02,F3,2019,0.00844933328261
NAmerica,ELCUSACA02,F4,2019,0.00829720145754
NAmerica,ELCUSACA02,F5,2019,0.00834822559352
NAmerica,ELCUSACA02,F6,2019,0.00867987286775
NAmerica,ELCUSACA02,F7,2019,0.00925568490196
NAmerica,ELCUSACA02,F8,2019,0.00973806576207
NAmerica,ELCUSACA02,F9,2019,0.0100719412988
NAmerica,ELCUSACA02,F10,2019,0.0103349978523
NAmerica,ELCUSACA02,F11,2019,0.0105779397962
NAmerica,ELCUSACA02,F12,2019,0.0107869961177
NAmerica,ELCUSACA02,F13,2019,0.0109859513774
NAmerica,ELCUSACA02,F14,2019,0.0112412598564
NAmerica,ELCUSACA02,F15,2019,0.0115240432862
NAmerica,ELCUSACA02,F16,2019,0.0117812482953
NAmerica,ELCUSACA02,F17,2019,0.0120261494783
NAmerica,ELCUSACA02,F18,2019,0.0122854552024
NAmerica,ELCUSACA02,F19,2019,0.0123649124409
NAmerica,ELCUSACA02,F20,2019,0.0123144003942
NAmerica,ELCUSACA02,F21,2019,0.0120308693139
NAmerica,ELCUSACA02,F22,2019,0.0114362541234
NAmerica,ELCUSACA02,F23,2019,0.0106241028972
NAmerica,ELCUSACA02,F24,2019,0.0097947524492
NAmerica,ELCUSACA02,W1,2019,0.00854236057986
NAmerica,ELCUSACA02,W2,2019,0.00819701868159
NAmerica,ELCUSACA02,W3,2019,0.00799807848739
NAmerica,ELCUSACA02,W4,2019,0.00793117149364
NAmerica,ELCUSACA02,W5,2019,0.00806748819648
NAmerica,ELCUSACA02,W6,2019,0.00849902799749
NAmerica,ELCUSACA02,W7,2019,0.00921600320216
NAmerica,ELCUSACA02,W8,2019,0.0096889975951
NAmerica,ELCUSACA02,W9,2019,0.0098936445783
NAmerica,ELCUSACA02,W10,2019,0.00995137675764
NAmerica,ELCUSACA02,W11,2019,0.00993599058829
NAmerica,ELCUSACA02,W12,2019,0.00987120418116
NAmerica,ELCUSACA02,W13,2019,0.00979525002074
NAmerica,ELCUSACA02,W14,2019,0.0097734595612
NAmerica,ELCUSACA02,W15,2019,0.00978123110182
NAmerica,ELCUSACA02,W16,2019,0.00985553491668
NAmerica,ELCUSACA02,W17,2019,0.0102052875341
NAmerica,ELCUSACA02,W18,2019,0.0110517861031
NAmerica,ELCUSACA02,W19,2019,0.011368093085
NAmerica,ELCUSACA02,W20,2019,0.0112863228505
NAmerica,ELCUSACA02,W21,2019,0.0110169630686
NAmerica,ELCUSACA02,W22,2019,0.0105358115882
NAmerica,ELCUSACA02,W23,2019,0.00983236931341
NAmerica,ELCUSACA02,W24,2019,0.00909598930156
NAmerica,ELCUSACA02,SP1,2019,0.00863054379931
NAmerica,ELCUSACA02,SP2,2019,0.00823077955952
NAmerica,ELCUSACA02,SP3,2019,0.00798005552207
NAmerica,ELCUSACA02,SP4,2019,0.00787761891173
NAmerica,ELCUSACA02,SP5,2019,0.00794863101097
NAmerica,ELCUSACA02,SP6,2019,0.0082603588302
NAmerica,ELCUSACA02,SP7,2019,0.00877258364057
NAmerica,ELCUSACA02,SP8,2019,0.00925326057559
NAmerica,ELCUSACA02,SP9,2019,0.00955927121744
NAmerica,ELCUSACA02,SP10,2019,0.00972596244867
NAmerica,ELCUSACA02,SP11,2019,0.00983128223735
NAmerica,ELCUSACA02,SP12,2019,0.00988984373453
NAmerica,ELCUSACA02,SP13,2019,0.00991212367904
NAmerica,ELCUSACA02,SP14,2019,0.00996852309836
NAmerica,ELCUSACA02,SP15,2019,0.0100499592252
NAmerica,ELCUSACA02,SP16,2019,0.0101361716847
NAmerica,ELCUSACA02,SP17,2019,0.0102394797629
