REGION,TIMESLICE,FUEL,YEAR,VALUE
"W","S5","ELC",2027,5.11314014186
"W","S5","ELC",2028,5.1703339099
"W","S5","ELC",2029,5.22787325962
"W","S5","ELC",2030,5.30545634678
"W","S5","ELC",2031,5.39167897594
"W","S5","ELC",2032,5.46865729516
"W","S5","ELC",2033,5.52991164794
"W","S5","ELC",2034,5.58226727246
"W","S5","ELC",2035,5.6489645367
"W","S5","ELC",2036,5.7154890101
"W","S5","ELC",2037,5.78279104228
"W","S5","ELC",2038,5.85562238134
"W","S5","ELC",2039,5.92793534788
"W","S5","ELC",2040,5.9984340106
"W","S5","ELC",2041,6.07440924529959
"W","S5","ELC",2042,6.14459120573663
"W","S5","ELC",2043,6.21477316703763
"W","S5","ELC",2044,6.28495512747467
"W","S5","ELC",2045,6.35513708877567
"W","S5","ELC",2046,6.42531904921271
"W","S5","ELC",2047,6.49550101051371
"W","S5","ELC",2048,6.56568297095075
"W","S5","ELC",2049,6.63586493225175
"W","S5","ELC",2050,6.70604689268879
"W","S6","ELC",2019,4.62133167797
"W","S6","ELC",2020,4.67428818129
"W","S6","ELC",2021,4.72724468461
"W","S6","ELC",2022,4.7853740914
"W","S6","ELC",2023,4.85981129557
"W","S6","ELC",2024,4.927409746
"W","S6","ELC",2025,5.01306952041
"W","S6","ELC",2026,5.11968393769
"W","S6","ELC",2027,5.18894823839
"W","S6","ELC",2028,5.24698996885
"W","S6","ELC",2029,5.30538240463
"W","S6","ELC",2030,5.38411574897
"W","S6","ELC",2031,5.47161672631
"W","S6","ELC",2032,5.54973633634
"W","S6","ELC",2033,5.61189885431
"W","S6","ELC",2034,5.66503071029
"W","S6","ELC",2035,5.73271683705
"W","S6","ELC",2036,5.80022761115
"W","S6","ELC",2037,5.86852747222
"W","S6","ELC",2038,5.94243861841
"W","S6","ELC",2039,6.01582370662
"W","S6","ELC",2040,6.0873675919
"W","S6","ELC",2041,6.16446924554493
"W","S6","ELC",2042,6.23569173307176
"W","S6","ELC",2043,6.30691422147535
"W","S6","ELC",2044,6.37813670900218
"W","S6","ELC",2045,6.44935919740577
"W","S6","ELC",2046,6.5205816849326
"W","S6","ELC",2047,6.5918041733362
"W","S6","ELC",2048,6.66302666086303
"W","S6","ELC",2049,6.73424914926662
"W","S6","ELC",2050,6.80547163679345
"W","S7","ELC",2019,4.81597283772
"W","S7","ELC",2020,4.87115976204
"W","S7","ELC",2021,4.92634668636
"W","S7","ELC",2022,4.9869243864
"W","S7","ELC",2023,5.06449673532
"W","S7","ELC",2024,5.134942296
"W","S7","ELC",2025,5.22420988716
"W","S7","ELC",2026,5.33531468844
"W","S7","ELC",2027,5.40749626164
"W","S7","ELC",2028,5.4679825926
"W","S7","ELC",2029,5.52883439988
"W","S7","ELC",2030,5.61088383372
"W","S7","ELC",2031,5.70207017556
"W","S7","ELC",2032,5.78348002584
"W","S7","ELC",2033,5.84826070356
"W","S7","ELC",2034,5.90363036604
"W","S7","ELC",2035,5.9741672958
"W","S7","ELC",2036,6.0445214874
"W","S7","ELC",2037,6.11569800072
"W","S7","ELC",2038,6.19272213516
"W","S7","ELC",2039,6.26919805512
"W","S7","ELC",2040,6.3437552244
"W","S7","ELC",2041,6.42410424402726
"W","S7","ELC",2042,6.49832647892963
"W","S7","ELC",2043,6.57254871474569
"W","S7","ELC",2044,6.64677094964806
"W","S7","ELC",2045,6.72099318546413
"W","S7","ELC",2046,6.7952154203665
"W","S7","ELC",2047,6.86943765618256
"W","S7","ELC",2048,6.94365989108493
"W","S7","ELC",2049,7.01788212690099
"W","S7","ELC",2050,7.09210436180337
"W","S8","ELC",2019,5.12456663875
"W","S8","ELC",2020,5.18328978375
"W","S8","ELC",2021,5.24201292875
"W","S8","ELC",2022,5.306472275
"W","S8","ELC",2023,5.38901523875
"W","S8","ELC",2024,5.46397475
"W","S8","ELC",2025,5.55896235375
"W","S8","ELC",2026,5.67718643375
"W","S8","ELC",2027,5.75399319625
"W","S8","ELC",2028,5.81835531875
"W","S8","ELC",2029,5.88310633625
"W","S8","ELC",2030,5.97041326375
"W","S8","ELC",2031,6.06744256625
"W","S8","ELC",2032,6.1540689275
"W","S8","ELC",2033,6.22300056625
"W","S8","ELC",2034,6.28191815875
"W","S8","ELC",2035,6.35697489375
"W","S8","ELC",2036,6.43183718125
"W","S8","ELC",2037,6.5075744825
"W","S8","ELC",2038,6.58953410375
"W","S8","ELC",2039,6.6709103825
"W","S8","ELC",2040,6.7502449625
"W","S8","ELC",2041,6.83574251809524
"W","S8","ELC",2042,6.91472070207815
"W","S8","ELC",2043,6.9936988870333
"W","S8","ELC",2044,7.07267707101621
"W","S8","ELC",2045,7.15165525597136
"W","S8","ELC",2046,7.23063343995428
"W","S8","ELC",2047,7.30961162490942
"W","S8","ELC",2048,7.38858980889234
"W","S8","ELC",2049,7.46756799384749
"W","S8","ELC",2050,7.5465461778304
"W","S9","ELC",2019,5.34489658383
"W","S9","ELC",2020,5.40614452131
"W","S9","ELC",2021,5.46739245879
"W","S9","ELC",2022,5.5346232246
"W","S9","ELC",2023,5.62071511023
"W","S9","ELC",2024,5.698897494
"W","S9","ELC",2025,5.79796907499
"W","S9","ELC",2026,5.92127618091
"W","S9","ELC",2027,6.00138523821
"W","S9","ELC",2028,6.06851460015
"W","S9","ELC",2029,6.13604957757
"W","S9","ELC",2030,6.22711025283
"W","S9","ELC",2031,6.32831131509
"W","S9","ELC",2032,6.41866216326
"W","S9","ELC",2033,6.49055750709
"W","S9","ELC",2034,6.55200825231
"W","S9","ELC",2035,6.63029203995
"W","S9","ELC",2036,6.70837301985
"W","S9","ELC",2037,6.78736663458
"W","S9","ELC",2038,6.87285009699
"W","S9","ELC",2039,6.95772513618
"W","S9","ELC",2040,7.0404706941
"W","S9","ELC",2041,7.12964420379179
"W","S9","ELC",2042,7.21201804250342
"W","S9","ELC",2043,7.29439188222908
"W","S9","ELC",2044,7.37676572094071
"W","S9","ELC",2045,7.45913956066637
"W","S9","ELC",2046,7.54151339937799
"W","S9","ELC",2047,7.62388723910366
"W","S9","ELC",2048,7.70626107781528
"W","S9","ELC",2049,7.78863491754095
"W","S9","ELC",2050,7.87100875625257
"W","S10","ELC",2019,5.49178338958
"W","S10","ELC",2020,5.55471452406
"W","S10","ELC",2021,5.61764565854
"W","S10","ELC",2022,5.6867240396
"W","S10","ELC",2023,5.77518187598
"W","S10","ELC",2024,5.855512844
"W","S10","ELC",2025,5.95730707974
"W","S10","ELC",2026,6.08400287366
"W","S10","ELC",2027,6.16631346346
"W","S10","ELC",2028,6.2352876539
"W","S10","ELC",2029,6.30467860682
"W","S10","ELC",2030,6.39824178358
"W","S10","ELC",2031,6.50222402234
"W","S10","ELC",2032,6.59505786476
"W","S10","ELC",2033,6.66892901434
"W","S10","ELC",2034,6.73206853006
"W","S10","ELC",2035,6.8125036887
"W","S10","ELC",2036,6.8927304661
"W","S10","ELC",2037,6.97389495908
