REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"W","S1","MIN_HYD",1,2040,505.690893715858
"W","S1","MIN_HYD",1,2041,501.45510245764
"W","S1","MIN_HYD",1,2042,526.201928051863
"W","S1","MIN_HYD",1,2043,494.956179207725
"W","S1","MIN_HYD",1,2044,558.963742464
"W","S1","MIN_HYD",1,2045,557.769002105447
"W","S1","MIN_HYD",1,2046,532.625243424454
"W","S1","MIN_HYD",1,2047,557.217610572705
"W","S1","MIN_HYD",1,2048,444.827584051447
"W","S1","MIN_HYD",1,2049,556.559752402518
"W","S1","MIN_HYD",1,2050,558.963742464
"W","S1","MIN_WN",1,2019,25.7338352904943
"W","S1","MIN_WN",1,2020,24.4471486995264
"W","S1","MIN_WN",1,2021,23.2247866658329
"W","S1","MIN_WN",1,2022,22.0635415841447
"W","S1","MIN_WN",1,2023,20.9603668042961
"W","S1","MIN_WN",1,2024,19.9123536376382
"W","S1","MIN_WN",1,2025,18.916731357039
"W","S1","MIN_WN",1,2026,17.9709016872629
"W","S1","MIN_WN",1,2027,17.0723468306257
"W","S1","MIN_WN",1,2028,16.2187329381323
"W","S1","MIN_WN",1,2029,15.4077951415464
"W","S1","MIN_WN",1,2030,21.8336342721219
"W","S1","MIN_WN",1,2031,13.9055321835634
"W","S1","MIN_WN",1,2032,13.2102636221404
"W","S1","MIN_WN",1,2033,12.5497498661937
"W","S1","MIN_WN",1,2034,11.9222548999685
"W","S1","MIN_WN",1,2035,11.3261461788476
"W","S1","MIN_WN",1,2036,10.7598371453863
"W","S1","MIN_WN",1,2037,10.2218447132773
"W","S1","MIN_WN",1,2038,9.71075477697208
"W","S1","MIN_WN",1,2039,9.22522221168036
"W","S1","MIN_WN",1,2040,8.76395937657738
"W","S1","MIN_WN",1,2041,8.3257591083899
"W","S1","MIN_WN",1,2042,7.90947172781006
"W","S1","MIN_WN",1,2043,7.51399354270232
"W","S1","MIN_WN",1,2044,7.13830133848271
"W","S1","MIN_WN",1,2045,10.1153332464725
"W","S1","MIN_WN",1,2046,6.44230847909575
"W","S1","MIN_WN",1,2047,6.12020282741508
"W","S1","MIN_WN",1,2048,5.81419268604432
"W","S1","MIN_WN",1,2049,8.23899337730312
"W","S1","MIN_WN",1,2050,5.24730881292906
"W","S1","MIN_GS",1,2019,122.21770387132
"W","S1","MIN_GS",1,2020,116.650248329893
"W","S1","MIN_GS",1,2021,1625.93302367536
"W","S1","MIN_GS",1,2022,1611.98913274554
"W","S1","MIN_GS",1,2023,1598.27310749448
"W","S1","MIN_GS",1,2024,1584.77514770997
"W","S1","MIN_GS",1,2025,1571.48561232224
"W","S1","MIN_GS",1,2026,1558.39528283742
"W","S1","MIN_GS",1,2027,1545.49509421195
"W","S1","MIN_GS",1,2028,1547.10384105984
"W","S1","MIN_GS",1,2029,1543.19221314978
"W","S1","MIN_GS",1,2030,1545.72053158937
"W","S1","MIN_GS",1,2031,1643.76075631862
"W","S1","MIN_GS",1,2032,1731.75905079967
"W","S1","MIN_GS",1,2033,1803.03635037314
"W","S1","MIN_GS",1,2034,1800.45163261334
"W","S1","MIN_GS",1,2035,1797.97020053582
"W","S1","MIN_GS",1,2036,1795.5879330161
"W","S1","MIN_GS",1,2037,1793.30096649998
"W","S1","MIN_GS",1,2038,1791.10569500354
"W","S1","MIN_GS",1,2039,1914.27324674321
"W","S1","MIN_GS",1,2040,1940.07498099002
"W","S1","MIN_GS",1,2041,1947.13877567091
"W","S1","MIN_GS",1,2042,2166.02503303853
"W","S1","MIN_GS",1,2043,2164.23491959253
"W","S1","MIN_GS",1,2044,2182.61539807398
"W","S1","MIN_GS",1,2045,2393.85386666989
"W","S1","MIN_GS",1,2046,2422.68945806919
"W","S1","MIN_GS",1,2047,2440.68511370993
"W","S1","MIN_GS",1,2048,2439.22572050345
"W","S1","MIN_GS",1,2049,2437.82428060997
"W","S1","MIN_GS",1,2050,2453.64426213473
"W","S1","MIN_CL",1,2019,3810.71678178566
"W","S1","MIN_CL",1,2020,3713.63683295348
"W","S1","MIN_CL",1,2034,178.430809464952
"W","S1","MIN_CL",1,2037,1019.85011397584
"W","S1","MIN_CL",1,2039,1040.60741228626
"W","S1","MIN_CL",1,2040,927.507745068825
"W","S1","MIN_CL",1,2044,2012.73129362304
"W","S1","MIN_CL",1,2047,1865.51879527584
"W","S2","HYD",1,2021,259.219509356523
"W","S2","HYD",1,2022,266.550495530306
"W","S2","HYD",1,2023,275.366933891082
"W","S2","HYD",1,2024,249.97531333014
"W","S2","HYD",1,2025,293.189453867852
"W","S2","HYD",1,2026,304.874991075061
"W","S2","HYD",1,2027,312.901768515293
"W","S2","HYD",1,2028,318.225493618718
"W","S2","HYD",1,2029,324.125880007613
"W","S2","HYD",1,2030,331.220191034187
"W","S2","HYD",1,2031,329.634583964224
"W","S2","HYD",1,2032,328.213300433395
"W","S2","HYD",1,2033,327.06214733526
"W","S2","HYD",1,2034,312.73007361535
"W","S2","HYD",1,2035,340.582243565268
"W","S2","HYD",1,2036,347.958423278944
"W","S2","HYD",1,2037,238.681163003451
"W","S2","HYD",1,2038,363.279007583316
"W","S2","HYD",1,2039,238.233787761384
"W","S2","HYD",1,2040,255.716965378192
"W","S2","HYD",1,2041,368.95560747253
"W","S2","HYD",1,2042,352.141415075784
"W","S2","HYD",1,2043,359.621288190337
"W","S2","HYD",1,2044,134.567120264281
"W","S2","HYD",1,2045,348.819975039092
"W","S2","HYD",1,2046,352.863071377638
"W","S2","HYD",1,2047,144.635898536034
"W","S2","HYD",1,2048,365.42700047854
"W","S2","HYD",1,2049,372.748810300194
"W","S2","HYD",1,2050,180.322427392527
"W","S2","WN",1,2019,28.3071193108308
"W","S2","WN",1,2020,26.8917690361818
"W","S2","WN",1,2021,25.5471755258016
"W","S2","WN",1,2022,24.2698104262975
"W","S2","WN",1,2023,23.0563224342683
"W","S2","WN",1,2024,21.9035120034474
"W","S2","WN",1,2025,20.8083313447039
"W","S2","WN",1,2026,19.7679223653254
"W","S2","WN",1,2027,18.7795154975954
"W","S2","WN",1,2028,17.840543516644
"W","S2","WN",1,2029,16.948515076169
"W","S2","WN",1,2030,16.1010905870034
"W","S2","WN",1,2031,15.2960316314034
"W","S2","WN",1,2032,14.5312389023328
"W","S2","WN",1,2033,13.8046763248948
"W","S2","WN",1,2034,13.1144342884719
"W","S2","WN",1,2035,12.4587170002981
"W","S2","WN",1,2036,11.835779253319
"W","S2","WN",1,2037,11.2439896583316
"W","S2","WN",1,2038,10.6817927047006
"W","S2","WN",1,2039,10.1477087603582
"W","S2","WN",1,2040,9.64032142537607
"W","S2","WN",1,2041,9.15830282482168
"W","S2","WN",1,2042,8.70038831590199
"W","S2","WN",1,2043,8.26536384153572
"W","S2","WN",1,2044,7.85210386963709
"W","S2","WN",1,2045,7.45949551454825
"W","S2","WN",1,2046,7.08651441560687
"W","S2","WN",1,2047,6.73219944429027
"W","S2","WN",1,2048,6.39558947207576
"W","S2","WN",1,2049,6.07579924900823
"W","S2","WN",1,2050,5.77201940370016
"W","S2","GS",1,2019,12.610442232
"W","S2","GS",1,2020,12.1060302192
"W","S2","GS",1,2021,169.727937455128
"W","S2","GS",1,2022,169.263090507928
"W","S2","GS",1,2023,168.816805650328
"W","S2","GS",1,2024,168.388373322328
"W","S2","GS",1,2025,167.977083963928
"W","S2","GS",1,2026,167.582256397528
"W","S2","GS",1,2027,167.203209445528
"W","S2","GS",1,2028,168.398800926563
"W","S2","GS",1,2029,169.004505675933
"W","S2","GS",1,2030,170.327331304614
"W","S2","GS",1,2031,181.130661853292
"W","S2","GS",1,2032,190.827443614288
"W","S2","GS",1,2033,198.681691501173
"W","S2","GS",1,2034,198.396874117173
"W","S2","GS",1,2035,198.123438075573
"W","S2","GS",1,2036,197.860929257973
"W","S2","GS",1,2037,197.608921928373
"W","S2","GS",1,2038,197.367018733173
"W","S2","GS",1,2039,210.939200743054
"W","S2","GS",1,2040,213.782367051242
"W","S2","GS",1,2041,214.560746630403
"W","S2","GS",1,2042,238.680444411959
"W","S2","GS",1,2043,238.483186731959
"W","S2","GS",1,2044,240.508583809805
"W","S2","GS",1,2045,263.785550046269
"W","S2","GS",1,2046,266.963025682555
"W","S2","GS",1,2047,268.946018039662
"W","S2","GS",1,2048,268.785203361262
"W","S2","GS",1,2049,268.630774722862
"W","S2","GS",1,2050,270.374023375728
"W","S2","CL",1,2019,403.394196321753
"W","S2","CL",1,2020,410.405390845636
"W","S2","CL",1,2024,33.4720259924298
"W","S2","CL",1,2034,20.4154244239075
"W","S2","CL",1,2037,116.687656061309
"W","S2","CL",1,2039,119.062632984698
"W","S2","CL",1,2040,106.122167628012
"W","S2","CL",1,2044,230.289621696
"W","S2","CL",1,2047,213.446086416
"W","S2","CL",1,2050,197.834504976
"W","S2","MIN_HYD",1,2019,289.188663990705
"W","S2","MIN_HYD",1,2020,524.274142464
"W","S2","MIN_HYD",1,2021,418.432319913326
"W","S2","MIN_HYD",1,2022,428.100953662553
"W","S2","MIN_HYD",1,2023,439.800245462629
"W","S2","MIN_HYD",1,2024,437.481616108567
"W","S2","MIN_HYD",1,2025,463.584091968261
"W","S2","MIN_HYD",1,2026,479.213516742869
"W","S2","MIN_HYD",1,2027,489.878780092163
"W","S2","MIN_HYD",1,2028,497.447901821528
"W","S2","MIN_HYD",1,2029,505.586222238266
"W","S2","MIN_HYD",1,2030,515.599350181582
"W","S2","MIN_HYD",1,2031,517.307016892319
