PROVINCE,MONTH,DAY,HOUR,VALUE
BC,1,10,11,8515.0
BC,1,10,12,8456.0
BC,1,10,13,8374.0
BC,1,10,14,8329.0
BC,1,10,15,8307.0
BC,1,10,16,8378.0
BC,1,10,17,8803.0
BC,1,10,18,9157.0
BC,1,10,19,9050.0
BC,1,10,20,8861.0
BC,1,10,21,8621.0
BC,1,10,22,8264.0
BC,1,10,23,7702.0
BC,1,10,24,7234.0
BC,1,11,1,6902.0
BC,1,11,2,6698.0
BC,1,11,3,6627.0
BC,1,11,4,6612.0
BC,1,11,5,6663.0
BC,1,11,6,7054.0
BC,1,11,7,7707.0
BC,1,11,8,8459.0
BC,1,11,9,8655.0
BC,1,11,10,8613.0
BC,1,11,11,8528.0
BC,1,11,12,8493.0
BC,1,11,13,8349.0
BC,1,11,14,8267.0
BC,1,11,15,8221.0
BC,1,11,16,8276.0
BC,1,11,17,8547.0
BC,1,11,18,8941.0
BC,1,11,19,8833.0
BC,1,11,20,8636.0
BC,1,11,21,8420.0
BC,1,11,22,8138.0
BC,1,11,23,7712.0
BC,1,11,24,7301.0
BC,1,12,1,6899.0
BC,1,12,2,6688.0
BC,1,12,3,6579.0
BC,1,12,4,6602.0
BC,1,12,5,6623.0
BC,1,12,6,6804.0
BC,1,12,7,7211.0
BC,1,12,8,7671.0
BC,1,12,9,8121.0
BC,1,12,10,8242.0
BC,1,12,11,8243.0
BC,1,12,12,8115.0
BC,1,12,13,8013.0
BC,1,12,14,7839.0
BC,1,12,15,7799.0
BC,1,12,16,7907.0
BC,1,12,17,8255.0
BC,1,12,18,8672.0
BC,1,12,19,8567.0
BC,1,12,20,8340.0
BC,1,12,21,8093.0
BC,1,12,22,7863.0
BC,1,12,23,7497.0
BC,1,12,24,7139.0
BC,1,13,1,6898.0
BC,1,13,2,6745.0
BC,1,13,3,6663.0
BC,1,13,4,6620.0
BC,1,13,5,6696.0
BC,1,13,6,6884.0
BC,1,13,7,7160.0
BC,1,13,8,7549.0
BC,1,13,9,7886.0
BC,1,13,10,8148.0
BC,1,13,11,8160.0
BC,1,13,12,8112.0
BC,1,13,13,8012.0
BC,1,13,14,7903.0
BC,1,13,15,7801.0
BC,1,13,16,7892.0
BC,1,13,17,8351.0
BC,1,13,18,8899.0
BC,1,13,19,8835.0
BC,1,13,20,8662.0
BC,1,13,21,8460.0
