PROVINCE,CAPACITY (MW),COMISSION,RETIREMENT,TECHNOLOGY,Ref_1,Ref_2
BC,60,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_British_Columbia,
BC,48,2015,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_British_Columbia,
BC,51,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_British_Columbia,
BC,14.9,2007,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_British_Columbia,
BC,7.4,2003,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_British_Columbia,
BC,66,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_British_Columbia,
AB,30,2002,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Alberta,
AB,16,1999,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Alberta,
AB,25,2005,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Alberta,
AB,12,1996,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Alberta,
AB,48,2011,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Alberta,
AB,25,1994,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Alberta,
ON,205,2014,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Ontario,
ON,15,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Ontario,
ON,15.1,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Ontario,
ON,35,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Ontario,
ON,42,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Ontario,
ON,153,2015,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Ontario,
QC,19,2007,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
QC,26.5,2012,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
QC,27,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
QC,42.5,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
QC,34.6,2000,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
QC,8.1,2008,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
QC,24.3,2012,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Quebec,
NL,15,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Newfoundland_and_Labrador,
NB,38,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_New_Brunswick,
NS,27,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Nova_Scotia,
NS,63.1,2010,0,BIO,https://en.wikipedia.org/wiki/List_of_generating_stations_in_Nova_Scotia,
