REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
W,CLCCS,Coal_F,1,2022,8.774285714
W,CLCCS,Coal_F,1,2023,8.77
W,CLCCS,Coal_F,1,2024,8.765714286
W,CLCCS,Coal_F,1,2025,8.761428571
W,CLCCS,Coal_F,1,2026,8.757142857
W,CLCCS,Coal_F,1,2027,8.752857143
W,CLCCS,Coal_F,1,2028,8.748571429
W,CLCCS,Coal_F,1,2029,8.744285714
W,CLCCS,Coal_F,1,2030,8.74
W,CLCCS,Coal_F,1,2031,8.74
W,CLCCS,Coal_F,1,2032,8.74
W,CLCCS,Coal_F,1,2033,8.74
W,CLCCS,Coal_F,1,2034,8.74
W,CLCCS,Coal_F,1,2035,8.74
W,CLCCS,Coal_F,1,2036,8.74
W,CLCCS,Coal_F,1,2037,8.74
W,CLCCS,Coal_F,1,2038,8.74
W,CLCCS,Coal_F,1,2039,8.74
W,CLCCS,Coal_F,1,2040,8.74
W,CLCCS,Coal_F,1,2041,8.74
W,CLCCS,Coal_F,1,2042,8.74
W,CLCCS,Coal_F,1,2043,8.74
W,CLCCS,Coal_F,1,2044,8.74
W,CLCCS,Coal_F,1,2045,8.74
W,CLCCS,Coal_F,1,2046,8.74
W,CLCCS,Coal_F,1,2047,8.74
W,CLCCS,Coal_F,1,2048,8.74
W,CLCCS,Coal_F,1,2049,8.74
W,CLCCS,Coal_F,1,2050,8.74
W,PV,Solar_F,1,2019,1.0
W,PV,Solar_F,1,2020,1.0
W,PV,Solar_F,1,2021,1.0
W,PV,Solar_F,1,2022,1.0
W,PV,Solar_F,1,2023,1.0
W,PV,Solar_F,1,2024,1.0
W,PV,Solar_F,1,2025,1.0
W,PV,Solar_F,1,2026,1.0
W,PV,Solar_F,1,2027,1.0
W,PV,Solar_F,1,2028,1.0
W,PV,Solar_F,1,2029,1.0
W,PV,Solar_F,1,2030,1.0
W,PV,Solar_F,1,2031,1.0
W,PV,Solar_F,1,2032,1.0
W,PV,Solar_F,1,2033,1.0
W,PV,Solar_F,1,2034,1.0
W,PV,Solar_F,1,2035,1.0
W,PV,Solar_F,1,2036,1.0
W,PV,Solar_F,1,2037,1.0
W,PV,Solar_F,1,2038,1.0
W,PV,Solar_F,1,2039,1.0
W,PV,Solar_F,1,2040,1.0
W,PV,Solar_F,1,2041,1.0
W,PV,Solar_F,1,2042,1.0
W,PV,Solar_F,1,2043,1.0
W,PV,Solar_F,1,2044,1.0
W,PV,Solar_F,1,2045,1.0
W,PV,Solar_F,1,2046,1.0
W,PV,Solar_F,1,2047,1.0
W,PV,Solar_F,1,2048,1.0
W,PV,Solar_F,1,2049,1.0
W,PV,Solar_F,1,2050,1.0
W,NUC,Nuc_F,1,2019,10.46
W,NUC,Nuc_F,1,2020,10.46
W,NUC,Nuc_F,1,2021,10.46
W,NUC,Nuc_F,1,2022,10.46
W,NUC,Nuc_F,1,2023,10.46
W,NUC,Nuc_F,1,2024,10.46
W,NUC,Nuc_F,1,2025,10.46
W,NUC,Nuc_F,1,2026,10.46
W,NUC,Nuc_F,1,2027,10.46
W,NUC,Nuc_F,1,2028,10.46
W,NUC,Nuc_F,1,2029,10.46
W,NUC,Nuc_F,1,2030,10.46
W,NUC,Nuc_F,1,2031,10.46
W,NUC,Nuc_F,1,2032,10.46
W,NUC,Nuc_F,1,2033,10.46
W,NUC,Nuc_F,1,2034,10.46
W,NUC,Nuc_F,1,2035,10.46
W,NUC,Nuc_F,1,2036,10.46
W,NUC,Nuc_F,1,2037,10.46
W,NUC,Nuc_F,1,2038,10.46
W,NUC,Nuc_F,1,2039,10.46
W,NUC,Nuc_F,1,2040,10.46
W,NUC,Nuc_F,1,2041,10.46
W,NUC,Nuc_F,1,2042,10.46
W,NUC,Nuc_F,1,2043,10.46
W,NUC,Nuc_F,1,2044,10.46
W,NUC,Nuc_F,1,2045,10.46
W,NUC,Nuc_F,1,2046,10.46
W,NUC,Nuc_F,1,2047,10.46
W,NUC,Nuc_F,1,2048,10.46
W,NUC,Nuc_F,1,2049,10.46
W,NUC,Nuc_F,1,2050,10.46
W,P2G,ELC,1,2019,1.15
W,P2G,ELC,1,2020,1.15
W,P2G,ELC,1,2021,1.15
W,P2G,ELC,1,2022,1.15
W,P2G,ELC,1,2023,1.15
W,P2G,ELC,1,2024,1.15
W,P2G,ELC,1,2025,1.15
W,P2G,ELC,1,2026,1.15
W,P2G,ELC,1,2027,1.15
W,P2G,ELC,1,2028,1.15
W,P2G,ELC,1,2029,1.15
W,P2G,ELC,1,2030,1.15
W,P2G,ELC,1,2031,1.15
W,P2G,ELC,1,2032,1.15
W,P2G,ELC,1,2033,1.15
W,P2G,ELC,1,2034,1.15
W,P2G,ELC,1,2035,1.15
W,P2G,ELC,1,2036,1.15
W,P2G,ELC,1,2037,1.15
W,P2G,ELC,1,2038,1.15
W,P2G,ELC,1,2039,1.15
W,P2G,ELC,1,2040,1.15
W,P2G,ELC,1,2041,1.15
W,P2G,ELC,1,2042,1.15
W,P2G,ELC,1,2043,1.15
W,P2G,ELC,1,2044,1.15
W,P2G,ELC,1,2045,1.15
W,P2G,ELC,1,2046,1.15
W,P2G,ELC,1,2047,1.15
W,P2G,ELC,1,2048,1.15
W,P2G,ELC,1,2049,1.15
W,P2G,ELC,1,2050,1.15
W,NGCT,NG_F,1,2019,9.691785714
W,NGCT,NG_F,1,2020,9.635714286
W,NGCT,NG_F,1,2021,9.579642857
W,NGCT,NG_F,1,2022,9.523571429
W,NGCT,NG_F,1,2023,9.4675
W,NGCT,NG_F,1,2024,9.411428571
W,NGCT,NG_F,1,2025,9.355357143
W,NGCT,NG_F,1,2026,9.299285714
W,NGCT,NG_F,1,2027,9.243214286
