REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
NAmerica,PWRFCLCANMW01,STOTNKCANMW,1,1
NAmerica,PWRFCLCANOT01,STOTNKCANOT,1,1
NAmerica,PWRFCLCANAT01,STOTNKCANAT,1,1
NAmerica,PWRFCLCANQC01,STOTNKCANQC,1,1
NAmerica,PWRFCLCANWS01,STOTNKCANWS,1,1
