REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
W,NUC,1,2033,555554
W,NUC,1,2034,555554
W,NUC,1,2035,555554
W,NUC,1,2036,555554
W,NUC,1,2037,555554
W,NUC,1,2038,555554
W,NUC,1,2039,555554
W,NUC,1,2040,555554
W,NUC,1,2041,555554
W,NUC,1,2042,555554
W,NUC,1,2043,555554
W,NUC,1,2044,555554
W,NUC,1,2045,555554
W,NUC,1,2046,555554
W,NUC,1,2047,555554
W,NUC,1,2048,555554
W,NUC,1,2049,555554
W,NUC,1,2050,555554
MW,HYD,1,2019,0
MW,HYD,1,2020,0
MW,HYD,1,2021,0
MW,HYD,1,2022,0
MW,HYD,1,2023,0
MW,HYD,1,2024,0
MW,HYD,1,2025,0
MW,HYD,1,2026,0
MW,HYD,1,2027,0
MW,HYD,1,2028,0
MW,HYD,1,2029,0
MW,HYD,1,2030,0
MW,HYD,1,2031,0
MW,HYD,1,2032,0
MW,HYD,1,2033,0
MW,HYD,1,2034,0
MW,HYD,1,2035,0
MW,HYD,1,2036,0
MW,HYD,1,2037,0
MW,HYD,1,2038,0
MW,HYD,1,2039,0
MW,HYD,1,2040,0
MW,HYD,1,2041,0
MW,HYD,1,2042,0
MW,HYD,1,2043,0
MW,HYD,1,2044,0
MW,HYD,1,2045,0
MW,HYD,1,2046,0
MW,HYD,1,2047,0
MW,HYD,1,2048,0
MW,HYD,1,2049,0
MW,HYD,1,2050,0
MW,WN,1,2019,0
MW,WN,1,2020,0
MW,WN,1,2021,0
MW,WN,1,2022,0
MW,WN,1,2023,0
MW,WN,1,2024,0
MW,WN,1,2025,0
MW,WN,1,2026,0
MW,WN,1,2027,0
MW,WN,1,2028,0
MW,WN,1,2029,0
MW,WN,1,2030,0
MW,WN,1,2031,0
MW,WN,1,2032,0
MW,WN,1,2033,0
MW,WN,1,2034,0
MW,WN,1,2035,0
MW,WN,1,2036,0
MW,WN,1,2037,0
MW,WN,1,2038,0
MW,WN,1,2039,0
MW,WN,1,2040,0
MW,WN,1,2041,0
MW,WN,1,2042,0
MW,WN,1,2043,0
MW,WN,1,2044,0
MW,WN,1,2045,0
MW,WN,1,2046,0
MW,WN,1,2047,0
MW,WN,1,2048,0
MW,WN,1,2049,0
MW,WN,1,2050,0
MW,BIO,1,2019,1388885
MW,BIO,1,2020,1388885
MW,BIO,1,2021,1388885
MW,BIO,1,2022,1388885
MW,BIO,1,2023,1388885
MW,BIO,1,2024,1388885
MW,BIO,1,2025,1388885
MW,BIO,1,2026,1388885
MW,BIO,1,2027,1388885
MW,BIO,1,2028,1388885
MW,BIO,1,2029,1388885
MW,BIO,1,2030,1388885
MW,BIO,1,2031,1388885
MW,BIO,1,2032,1388885
MW,BIO,1,2033,1388885
MW,BIO,1,2034,1388885
MW,BIO,1,2035,1388885
MW,BIO,1,2036,1388885
MW,BIO,1,2037,1388885
MW,BIO,1,2038,1388885
MW,BIO,1,2039,1388885
MW,BIO,1,2040,1388885
MW,BIO,1,2041,1388885
MW,BIO,1,2042,1388885
MW,BIO,1,2043,1388885
MW,BIO,1,2044,1388885
MW,BIO,1,2045,1388885
MW,BIO,1,2046,1388885
MW,BIO,1,2047,1388885
MW,BIO,1,2048,1388885
MW,BIO,1,2049,1388885
MW,BIO,1,2050,1388885
MW,GS,1,2019,1944439
MW,GS,1,2020,1944439
MW,GS,1,2021,1944439
MW,GS,1,2022,1944439
MW,GS,1,2023,1944439
MW,GS,1,2024,1944439
MW,GS,1,2025,1944439
MW,GS,1,2026,1944439
MW,GS,1,2027,1944439
MW,GS,1,2028,1944439
MW,GS,1,2029,1944439
MW,GS,1,2030,1944439
MW,GS,1,2031,1944439
MW,GS,1,2032,1944439
MW,GS,1,2033,1944439
MW,GS,1,2034,1944439
MW,GS,1,2035,1944439
MW,GS,1,2036,1944439
MW,GS,1,2037,1944439
MW,GS,1,2038,1944439
MW,GS,1,2039,1944439
MW,GS,1,2040,1944439
MW,GS,1,2041,1944439
MW,GS,1,2042,1944439
MW,GS,1,2043,1944439
MW,GS,1,2044,1944439
MW,GS,1,2045,1944439
MW,GS,1,2046,1944439
MW,GS,1,2047,1944439
MW,GS,1,2048,1944439
MW,GS,1,2049,1944439
MW,GS,1,2050,1944439
MW,PV,1,2019,0
MW,PV,1,2020,0
MW,PV,1,2021,0
MW,PV,1,2022,0
MW,PV,1,2023,0
MW,PV,1,2024,0
MW,PV,1,2025,0
MW,PV,1,2026,0
MW,PV,1,2027,0
MW,PV,1,2028,0
MW,PV,1,2029,0
MW,PV,1,2030,0
MW,PV,1,2031,0
MW,PV,1,2032,0
MW,PV,1,2033,0
MW,PV,1,2034,0
MW,PV,1,2035,0
MW,PV,1,2036,0
MW,PV,1,2037,0
MW,PV,1,2038,0
MW,PV,1,2039,0
MW,PV,1,2040,0
MW,PV,1,2041,0
MW,PV,1,2042,0
MW,PV,1,2043,0
MW,PV,1,2044,0
MW,PV,1,2045,0
MW,PV,1,2046,0
MW,PV,1,2047,0
MW,PV,1,2048,0
MW,PV,1,2049,0
MW,PV,1,2050,0
MW,CL,1,2019,1388885
MW,CL,1,2020,1388885
MW,CL,1,2021,1388885
MW,CL,1,2022,1388885
MW,CL,1,2023,1388885
MW,CL,1,2024,1388885
MW,CL,1,2025,1388885
MW,CL,1,2026,1388885
MW,CL,1,2027,1388885
MW,CL,1,2028,1388885
MW,CL,1,2029,1388885
MW,CL,1,2030,1388885
MW,CL,1,2031,1388885
MW,CL,1,2032,1388885
MW,CL,1,2033,1388885
MW,CL,1,2034,1388885
MW,CL,1,2035,1388885
MW,CL,1,2036,1388885
MW,CL,1,2037,1388885
MW,CL,1,2038,1388885
MW,CL,1,2039,1388885
MW,CL,1,2040,1388885
MW,CL,1,2041,1388885
MW,CL,1,2042,1388885
MW,CL,1,2043,1388885
MW,CL,1,2044,1388885
MW,CL,1,2045,1388885
MW,CL,1,2046,1388885
MW,CL,1,2047,1388885
MW,CL,1,2048,1388885
MW,CL,1,2049,1388885
MW,CL,1,2050,1388885
MW,NUC,1,2019,555554
MW,NUC,1,2020,555554
MW,NUC,1,2021,555554
MW,NUC,1,2022,555554
MW,NUC,1,2023,555554
MW,NUC,1,2024,555554
MW,NUC,1,2025,555554
MW,NUC,1,2026,555554
MW,NUC,1,2027,555554
MW,NUC,1,2028,555554
MW,NUC,1,2029,555554
MW,NUC,1,2030,555554
MW,NUC,1,2031,555554
MW,NUC,1,2032,555554
MW,NUC,1,2033,555554
MW,NUC,1,2034,555554
MW,NUC,1,2035,555554
MW,NUC,1,2036,555554
MW,NUC,1,2037,555554
MW,NUC,1,2038,555554
MW,NUC,1,2039,555554
MW,NUC,1,2040,555554
MW,NUC,1,2041,555554
MW,NUC,1,2042,555554
MW,NUC,1,2043,555554
MW,NUC,1,2044,555554
MW,NUC,1,2045,555554
MW,NUC,1,2046,555554
MW,NUC,1,2047,555554
MW,NUC,1,2048,555554
MW,NUC,1,2049,555554
MW,NUC,1,2050,555554
ME,HYD,1,2019,0
ME,HYD,1,2020,0
ME,HYD,1,2021,0
ME,HYD,1,2022,0
ME,HYD,1,2023,0
ME,HYD,1,2024,0
ME,HYD,1,2025,0
ME,HYD,1,2026,0
ME,HYD,1,2027,0
ME,HYD,1,2028,0
ME,HYD,1,2029,0
ME,HYD,1,2030,0
ME,HYD,1,2031,0
ME,HYD,1,2032,0
ME,HYD,1,2033,0
ME,HYD,1,2034,0
ME,HYD,1,2035,0
ME,HYD,1,2036,0
ME,HYD,1,2037,0
ME,HYD,1,2038,0
ME,HYD,1,2039,0
ME,HYD,1,2040,0
ME,HYD,1,2041,0
ME,HYD,1,2042,0
ME,HYD,1,2043,0
ME,HYD,1,2044,0
ME,HYD,1,2045,0
ME,HYD,1,2046,0
ME,HYD,1,2047,0
ME,HYD,1,2048,0
ME,HYD,1,2049,0
ME,HYD,1,2050,0
ME,WN,1,2019,0
ME,WN,1,2020,0
ME,WN,1,2021,0
ME,WN,1,2022,0
ME,WN,1,2023,0
ME,WN,1,2024,0
ME,WN,1,2025,0
ME,WN,1,2026,0
ME,WN,1,2027,0
ME,WN,1,2028,0
ME,WN,1,2029,0
ME,WN,1,2030,0
ME,WN,1,2031,0
ME,WN,1,2032,0
ME,WN,1,2033,0
ME,WN,1,2034,0
ME,WN,1,2035,0
ME,WN,1,2036,0
ME,WN,1,2037,0
ME,WN,1,2038,0
ME,WN,1,2039,0
ME,WN,1,2040,0
ME,WN,1,2041,0
ME,WN,1,2042,0
ME,WN,1,2043,0
ME,WN,1,2044,0
ME,WN,1,2045,0
ME,WN,1,2046,0
ME,WN,1,2047,0
ME,WN,1,2048,0
ME,WN,1,2049,0
ME,WN,1,2050,0
ME,BIO,1,2019,1388885
ME,BIO,1,2020,1388885
ME,BIO,1,2021,1388885
ME,BIO,1,2022,1388885
ME,BIO,1,2023,1388885
ME,BIO,1,2024,1388885
ME,BIO,1,2025,1388885
ME,BIO,1,2026,1388885
ME,BIO,1,2027,1388885
ME,BIO,1,2028,1388885
ME,BIO,1,2029,1388885
ME,BIO,1,2030,1388885
ME,BIO,1,2031,1388885
ME,BIO,1,2032,1388885
ME,BIO,1,2033,1388885
ME,BIO,1,2034,1388885
ME,BIO,1,2035,1388885
ME,BIO,1,2036,1388885
ME,BIO,1,2037,1388885
ME,BIO,1,2038,1388885
ME,BIO,1,2039,1388885
ME,BIO,1,2040,1388885
ME,BIO,1,2041,1388885
ME,BIO,1,2042,1388885
ME,BIO,1,2043,1388885
ME,BIO,1,2044,1388885
ME,BIO,1,2045,1388885
ME,BIO,1,2046,1388885
ME,BIO,1,2047,1388885
ME,BIO,1,2048,1388885
ME,BIO,1,2049,1388885
ME,BIO,1,2050,1388885
ME,GS,1,2019,1944439
ME,GS,1,2020,1944439
ME,GS,1,2021,1944439
ME,GS,1,2022,1944439
ME,GS,1,2023,1944439
ME,GS,1,2024,1944439
ME,GS,1,2025,1944439
ME,GS,1,2026,1944439
ME,GS,1,2027,1944439
ME,GS,1,2028,1944439
ME,GS,1,2029,1944439
ME,GS,1,2030,1944439
ME,GS,1,2031,1944439
ME,GS,1,2032,1944439
ME,GS,1,2033,1944439
ME,GS,1,2034,1944439
ME,GS,1,2035,1944439
ME,GS,1,2036,1944439
ME,GS,1,2037,1944439
ME,GS,1,2038,1944439
ME,GS,1,2039,1944439
ME,GS,1,2040,1944439
ME,GS,1,2041,1944439
ME,GS,1,2042,1944439
ME,GS,1,2043,1944439
ME,GS,1,2044,1944439
ME,GS,1,2045,1944439
ME,GS,1,2046,1944439
ME,GS,1,2047,1944439
ME,GS,1,2048,1944439
ME,GS,1,2049,1944439
ME,GS,1,2050,1944439
ME,PV,1,2019,0
ME,PV,1,2020,0
ME,PV,1,2021,0
ME,PV,1,2022,0
ME,PV,1,2023,0
ME,PV,1,2024,0
ME,PV,1,2025,0
ME,PV,1,2026,0
ME,PV,1,2027,0
ME,PV,1,2028,0
ME,PV,1,2029,0
ME,PV,1,2030,0
ME,PV,1,2031,0
ME,PV,1,2032,0
ME,PV,1,2033,0
ME,PV,1,2034,0
ME,PV,1,2035,0
ME,PV,1,2036,0
ME,PV,1,2037,0
ME,PV,1,2038,0
ME,PV,1,2039,0
ME,PV,1,2040,0
ME,PV,1,2041,0
ME,PV,1,2042,0
ME,PV,1,2043,0
ME,PV,1,2044,0
ME,PV,1,2045,0
ME,PV,1,2046,0
ME,PV,1,2047,0
ME,PV,1,2048,0
ME,PV,1,2049,0
ME,PV,1,2050,0
ME,CL,1,2019,1388885
ME,CL,1,2020,1388885
ME,CL,1,2021,1388885
ME,CL,1,2022,1388885
ME,CL,1,2023,1388885
ME,CL,1,2024,1388885
ME,CL,1,2025,1388885
ME,CL,1,2026,1388885
ME,CL,1,2027,1388885
ME,CL,1,2028,1388885
ME,CL,1,2029,1388885
ME,CL,1,2030,1388885
ME,CL,1,2031,1388885
ME,CL,1,2032,1388885
ME,CL,1,2033,1388885
ME,CL,1,2034,1388885
ME,CL,1,2035,1388885
ME,CL,1,2036,1388885
ME,CL,1,2037,1388885
ME,CL,1,2038,1388885
ME,CL,1,2039,1388885
ME,CL,1,2040,1388885
ME,CL,1,2041,1388885
ME,CL,1,2042,1388885
ME,CL,1,2043,1388885
ME,CL,1,2044,1388885
ME,CL,1,2045,1388885
ME,CL,1,2046,1388885
ME,CL,1,2047,1388885
ME,CL,1,2048,1388885
ME,CL,1,2049,1388885
ME,CL,1,2050,1388885
ME,NUC,1,2019,555554
ME,NUC,1,2020,555554
ME,NUC,1,2021,555554
ME,NUC,1,2022,555554
ME,NUC,1,2023,555554
ME,NUC,1,2024,555554
ME,NUC,1,2025,555554
ME,NUC,1,2026,555554
ME,NUC,1,2027,555554
ME,NUC,1,2028,555554
ME,NUC,1,2029,555554
ME,NUC,1,2030,555554
ME,NUC,1,2031,555554
ME,NUC,1,2032,555554
ME,NUC,1,2033,555554
ME,NUC,1,2034,555554
ME,NUC,1,2035,555554
ME,NUC,1,2036,555554
ME,NUC,1,2037,555554
ME,NUC,1,2038,555554
ME,NUC,1,2039,555554
ME,NUC,1,2040,555554
ME,NUC,1,2041,555554
ME,NUC,1,2042,555554
ME,NUC,1,2043,555554
ME,NUC,1,2044,555554
ME,NUC,1,2045,555554
ME,NUC,1,2046,555554
ME,NUC,1,2047,555554
ME,NUC,1,2048,555554
ME,NUC,1,2049,555554
ME,NUC,1,2050,555554
E,HYD,1,2019,0
E,HYD,1,2020,0
E,HYD,1,2021,0
E,HYD,1,2022,0
E,HYD,1,2023,0
E,HYD,1,2024,0
E,HYD,1,2025,0
E,HYD,1,2026,0
E,HYD,1,2027,0
E,HYD,1,2028,0
E,HYD,1,2029,0
E,HYD,1,2030,0
E,HYD,1,2031,0
E,HYD,1,2032,0
E,HYD,1,2033,0
E,HYD,1,2034,0
E,HYD,1,2035,0
E,HYD,1,2036,0
E,HYD,1,2037,0
E,HYD,1,2038,0
E,HYD,1,2039,0
E,HYD,1,2040,0
E,HYD,1,2041,0
E,HYD,1,2042,0
E,HYD,1,2043,0
E,HYD,1,2044,0
E,HYD,1,2045,0
E,HYD,1,2046,0
E,HYD,1,2047,0
E,HYD,1,2048,0
E,HYD,1,2049,0
E,HYD,1,2050,0
E,WN,1,2019,0
E,WN,1,2020,0
E,WN,1,2021,0
E,WN,1,2022,0
E,WN,1,2023,0
E,WN,1,2024,0
E,WN,1,2025,0
E,WN,1,2026,0
E,WN,1,2027,0
E,WN,1,2028,0
E,WN,1,2029,0
E,WN,1,2030,0
E,WN,1,2031,0
E,WN,1,2032,0
E,WN,1,2033,0
E,WN,1,2034,0
E,WN,1,2035,0
E,WN,1,2036,0
E,WN,1,2037,0
E,WN,1,2038,0
E,WN,1,2039,0
E,WN,1,2040,0
E,WN,1,2041,0
E,WN,1,2042,0
E,WN,1,2043,0
E,WN,1,2044,0
E,WN,1,2045,0
E,WN,1,2046,0
E,WN,1,2047,0
E,WN,1,2048,0
E,WN,1,2049,0
E,WN,1,2050,0
E,BIO,1,2019,1388885
E,BIO,1,2020,1388885
E,BIO,1,2021,1388885
E,BIO,1,2022,1388885
E,BIO,1,2023,1388885
E,BIO,1,2024,1388885
E,BIO,1,2025,1388885
E,BIO,1,2026,1388885
E,BIO,1,2027,1388885
E,BIO,1,2028,1388885
E,BIO,1,2029,1388885
E,BIO,1,2030,1388885
E,BIO,1,2031,1388885
E,BIO,1,2032,1388885
E,BIO,1,2033,1388885
E,BIO,1,2034,1388885
E,BIO,1,2035,1388885
E,BIO,1,2036,1388885
E,BIO,1,2037,1388885
E,BIO,1,2038,1388885
E,BIO,1,2039,1388885
E,BIO,1,2040,1388885
E,BIO,1,2041,1388885
E,BIO,1,2042,1388885
E,BIO,1,2043,1388885
E,BIO,1,2044,1388885
E,BIO,1,2045,1388885
E,BIO,1,2046,1388885
E,BIO,1,2047,1388885
E,BIO,1,2048,1388885
E,BIO,1,2049,1388885
E,BIO,1,2050,1388885
E,GS,1,2019,1944439
E,GS,1,2020,1944439
E,GS,1,2021,1944439
E,GS,1,2022,1944439
E,GS,1,2023,1944439
E,GS,1,2024,1944439
E,GS,1,2025,1944439
E,GS,1,2026,1944439
E,GS,1,2027,1944439
E,GS,1,2028,1944439
E,GS,1,2029,1944439
E,GS,1,2030,1944439
E,GS,1,2031,1944439
E,GS,1,2032,1944439
E,GS,1,2033,1944439
E,GS,1,2034,1944439
E,GS,1,2035,1944439
E,GS,1,2036,1944439
E,GS,1,2037,1944439
E,GS,1,2038,1944439
E,GS,1,2039,1944439
E,GS,1,2040,1944439
E,GS,1,2041,1944439
E,GS,1,2042,1944439
E,GS,1,2043,1944439
E,GS,1,2044,1944439
E,GS,1,2045,1944439
E,GS,1,2046,1944439
E,GS,1,2047,1944439
E,GS,1,2048,1944439
E,GS,1,2049,1944439
E,GS,1,2050,1944439
E,PV,1,2019,0
E,PV,1,2020,0
E,PV,1,2021,0
E,PV,1,2022,0
E,PV,1,2023,0
E,PV,1,2024,0
E,PV,1,2025,0
E,PV,1,2026,0
E,PV,1,2027,0
E,PV,1,2028,0
E,PV,1,2029,0
E,PV,1,2030,0
E,PV,1,2031,0
E,PV,1,2032,0
E,PV,1,2033,0
E,PV,1,2034,0
E,PV,1,2035,0
E,PV,1,2036,0
E,PV,1,2037,0
E,PV,1,2038,0
E,PV,1,2039,0
E,PV,1,2040,0
E,PV,1,2041,0
E,PV,1,2042,0
E,PV,1,2043,0
E,PV,1,2044,0
E,PV,1,2045,0
E,PV,1,2046,0
E,PV,1,2047,0
E,PV,1,2048,0
E,PV,1,2049,0
E,PV,1,2050,0
E,CL,1,2019,1388885
E,CL,1,2020,1388885
E,CL,1,2021,1388885
E,CL,1,2022,1388885
E,CL,1,2023,1388885
E,CL,1,2024,1388885
E,CL,1,2025,1388885
E,CL,1,2026,1388885
E,CL,1,2027,1388885
E,CL,1,2028,1388885
E,CL,1,2029,1388885
E,CL,1,2030,1388885
E,CL,1,2031,1388885
E,CL,1,2032,1388885
E,CL,1,2033,1388885
E,CL,1,2034,1388885
E,CL,1,2035,1388885
E,CL,1,2036,1388885
E,CL,1,2037,1388885
E,CL,1,2038,1388885
E,CL,1,2039,1388885
E,CL,1,2040,1388885
E,CL,1,2041,1388885
E,CL,1,2042,1388885
E,CL,1,2043,1388885
E,CL,1,2044,1388885
E,CL,1,2045,1388885
E,CL,1,2046,1388885
E,CL,1,2047,1388885
E,CL,1,2048,1388885
E,CL,1,2049,1388885
E,CL,1,2050,1388885
E,NUC,1,2019,555554
E,NUC,1,2020,555554
E,NUC,1,2021,555554
E,NUC,1,2022,555554
E,NUC,1,2023,555554
E,NUC,1,2024,555554
E,NUC,1,2025,555554
E,NUC,1,2026,555554
E,NUC,1,2027,555554
E,NUC,1,2028,555554
E,NUC,1,2029,555554
E,NUC,1,2030,555554
E,NUC,1,2031,555554
E,NUC,1,2032,555554
E,NUC,1,2033,555554
E,NUC,1,2034,555554
E,NUC,1,2035,555554
E,NUC,1,2036,555554
E,NUC,1,2037,555554
E,NUC,1,2038,555554
E,NUC,1,2039,555554
E,NUC,1,2040,555554
E,NUC,1,2041,555554
E,NUC,1,2042,555554
E,NUC,1,2043,555554
E,NUC,1,2044,555554
E,NUC,1,2045,555554
E,NUC,1,2046,555554
E,NUC,1,2047,555554
E,NUC,1,2048,555554
E,NUC,1,2049,555554
E,NUC,1,2050,555554
