REGION,TECHNOLOGY,VALUE
NAmerica,PWRCOACANWS01,45
NAmerica,PWRCOCCANWS01,45
NAmerica,PWRURNCANWS01,60
NAmerica,PWRHYDCANWS01,100
NAmerica,PWRWNDCANWS01,30
NAmerica,PWRSPVCANWS01,30
NAmerica,PWRBIOCANWS01,45
NAmerica,PWRCCGCANWS01,35
NAmerica,PWRCTGCANWS01,35
NAmerica,PWRCOACANMW01,45
NAmerica,PWRCOCCANMW01,45
NAmerica,PWRURNCANMW01,60
NAmerica,PWRHYDCANMW01,100
NAmerica,PWRWNDCANMW01,30
NAmerica,PWRSPVCANMW01,30
NAmerica,PWRBIOCANMW01,45
NAmerica,PWRCCGCANMW01,35
NAmerica,PWRCTGCANMW01,35
NAmerica,PWRCOACANOT01,45
NAmerica,PWRCOCCANOT01,45
NAmerica,PWRURNCANOT01,60
NAmerica,PWRHYDCANOT01,100
NAmerica,PWRWNDCANOT01,30
NAmerica,PWRSPVCANOT01,30
NAmerica,PWRBIOCANOT01,45
NAmerica,PWRCCGCANOT01,35
NAmerica,PWRCTGCANOT01,35
NAmerica,PWRCOACANQC01,45
NAmerica,PWRCOCCANQC01,45
NAmerica,PWRURNCANQC01,60
NAmerica,PWRHYDCANQC01,100
NAmerica,PWRWNDCANQC01,30
NAmerica,PWRSPVCANQC01,30
NAmerica,PWRBIOCANQC01,45
NAmerica,PWRCCGCANQC01,35
NAmerica,PWRCTGCANQC01,35
NAmerica,PWRCOACANAT01,45
NAmerica,PWRCOCCANAT01,45
NAmerica,PWRURNCANAT01,60
NAmerica,PWRHYDCANAT01,100
NAmerica,PWRWNDCANAT01,30
NAmerica,PWRSPVCANAT01,30
NAmerica,PWRBIOCANAT01,45
NAmerica,PWRCCGCANAT01,35
NAmerica,PWRCTGCANAT01,35
NAmerica,TRNCANMWCANOT,100
NAmerica,TRNCANOTCANQC,100
NAmerica,TRNCANATCANQC,100
NAmerica,TRNCANMWCANWS,100
