REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
NAmerica,PWRP2GCANQC01,STOTNKCANQC,1.0,1
NAmerica,PWRP2GCANAT01,STOTNKCANAT,1.0,1
NAmerica,PWRP2GCANOT01,STOTNKCANOT,1.0,1
NAmerica,PWRP2GCANMW01,STOTNKCANMW,1.0,1
NAmerica,PWRP2GCANWS01,STOTNKCANWS,1.0,1
