REGION,STORAGE,YEAR,VALUE
NAmerica,STOTNKCANOT,2045,11.673152
NAmerica,STOTNKCANWS,2045,11.673152
NAmerica,STOTNKCANQC,2045,11.673152
NAmerica,STOTNKCANAT,2046,11.673152
NAmerica,STOTNKCANMW,2046,11.673152
NAmerica,STOTNKCANOT,2046,11.673152
NAmerica,STOTNKCANWS,2046,11.673152
NAmerica,STOTNKCANQC,2046,11.673152
NAmerica,STOTNKCANAT,2047,11.673152
NAmerica,STOTNKCANMW,2047,11.673152
NAmerica,STOTNKCANOT,2047,11.673152
NAmerica,STOTNKCANWS,2047,11.673152
NAmerica,STOTNKCANQC,2047,11.673152
NAmerica,STOTNKCANAT,2048,11.673152
NAmerica,STOTNKCANMW,2048,11.673152
NAmerica,STOTNKCANOT,2048,11.673152
NAmerica,STOTNKCANWS,2048,11.673152
NAmerica,STOTNKCANQC,2048,11.673152
NAmerica,STOTNKCANAT,2049,11.673152
NAmerica,STOTNKCANMW,2049,11.673152
NAmerica,STOTNKCANOT,2049,11.673152
NAmerica,STOTNKCANWS,2049,11.673152
NAmerica,STOTNKCANQC,2049,11.673152
NAmerica,STOTNKCANAT,2050,11.673152
NAmerica,STOTNKCANMW,2050,11.673152
NAmerica,STOTNKCANOT,2050,11.673152
NAmerica,STOTNKCANWS,2050,11.673152
NAmerica,STOTNKCANQC,2050,11.673152
