,BIO,COA,COC,CTG,CCG
2019,0.063889,0.211113,0.055556,0.134168,0.102779
2020,0.063889,0.211113,0.055556,0.134168,0.102779
2021,0.063889,0.211113,0.055556,0.134168,0.102779
2022,0.063889,0.211113,0.055556,0.134168,0.102779
2023,0.063889,0.211113,0.055556,0.134168,0.102779
2024,0.063889,0.211113,0.055556,0.134168,0.102779
2025,0.063889,0.211113,0.055556,0.134168,0.102779
2026,0.063889,0.211113,0.055556,0.134168,0.102779
2027,0.063889,0.211113,0.055556,0.134168,0.102779
2028,0.063889,0.211113,0.055556,0.134168,0.102779
2029,0.063889,0.211113,0.055556,0.134168,0.102779
2030,0.063889,0.211113,0.055556,0.134168,0.102779
2031,0.063889,0.211113,0.055556,0.134168,0.102779
2032,0.063889,0.211113,0.055556,0.134168,0.102779
2033,0.063889,0.211113,0.055556,0.134168,0.102779
2034,0.063889,0.211113,0.055556,0.134168,0.102779
2035,0.063889,0.211113,0.055556,0.134168,0.102779
2036,0.063889,0.211113,0.055556,0.134168,0.102779
2037,0.063889,0.211113,0.055556,0.134168,0.102779
2038,0.063889,0.211113,0.055556,0.134168,0.102779
2039,0.063889,0.211113,0.055556,0.134168,0.102779
2040,0.063889,0.211113,0.055556,0.134168,0.102779
2041,0.063889,0.211113,0.055556,0.134168,0.102779
2042,0.063889,0.211113,0.055556,0.134168,0.102779
2043,0.063889,0.211113,0.055556,0.134168,0.102779
2044,0.063889,0.211113,0.055556,0.134168,0.102779
2045,0.063889,0.211113,0.055556,0.134168,0.102779
2046,0.063889,0.211113,0.055556,0.134168,0.102779
2047,0.063889,0.211113,0.055556,0.134168,0.102779
2048,0.063889,0.211113,0.055556,0.134168,0.102779
2049,0.063889,0.211113,0.055556,0.134168,0.102779
2050,0.063889,0.211113,0.055556,0.134168,0.102779
